date,nuts3,cases,new_cases,new_cases_ma
2020-02-25,ITH31,0.0,,
2020-02-25,ITH32,0.0,,
2020-02-25,ITH33,0.0,,
2020-02-25,ITH34,1.0,,
2020-02-25,ITH35,7.0,,
2020-02-25,ITH36,30.0,,
2020-02-25,ITH37,0.0,,
2020-02-26,ITH31,0.0,0.0,0.0
2020-02-26,ITH32,0.0,0.0,0.0
2020-02-26,ITH33,0.0,0.0,0.0
2020-02-26,ITH34,2.0,1.0,1.0
2020-02-26,ITH35,8.0,1.0,1.0
2020-02-26,ITH36,40.0,10.0,10.0
2020-02-26,ITH37,0.0,0.0,0.0
2020-02-27,ITH31,0.0,0.0,0.0
2020-02-27,ITH32,3.0,3.0,1.5
2020-02-27,ITH33,0.0,0.0,0.0
2020-02-27,ITH34,22.0,20.0,10.5
2020-02-27,ITH35,14.0,6.0,3.5
2020-02-27,ITH36,59.0,19.0,14.5
2020-02-27,ITH37,0.0,0.0,0.0
2020-02-28,ITH31,0.0,0.0,0.0
2020-02-28,ITH32,3.0,0.0,1.0
2020-02-28,ITH33,0.0,0.0,0.0
2020-02-28,ITH34,23.0,1.0,7.333333333333333
2020-02-28,ITH35,15.0,1.0,2.6666666666666665
2020-02-28,ITH36,68.0,9.0,12.666666666666666
2020-02-28,ITH37,0.0,0.0,0.0
2020-02-29,ITH31,0.0,0.0,0.0
2020-02-29,ITH32,3.0,0.0,0.75
2020-02-29,ITH33,0.0,0.0,0.0
2020-02-29,ITH34,35.0,12.0,8.5
2020-02-29,ITH35,19.0,4.0,3.0
2020-02-29,ITH36,81.0,13.0,12.75
2020-02-29,ITH37,0.0,0.0,0.0
2020-03-01,ITH31,2.0,2.0,0.4
2020-03-01,ITH32,3.0,0.0,0.6
2020-03-01,ITH33,0.0,0.0,0.0
2020-03-01,ITH34,43.0,8.0,8.4
2020-03-01,ITH35,24.0,5.0,3.4
2020-03-01,ITH36,105.0,24.0,15.0
2020-03-01,ITH37,0.0,0.0,0.0
2020-03-02,ITH31,8.0,6.0,1.3333333333333333
2020-03-02,ITH32,3.0,0.0,0.5
2020-03-02,ITH33,3.0,3.0,0.5
2020-03-02,ITH34,72.0,29.0,11.833333333333334
2020-03-02,ITH35,48.0,24.0,6.833333333333333
2020-03-02,ITH36,135.0,30.0,17.5
2020-03-02,ITH37,0.0,0.0,0.0
2020-03-03,ITH31,17.0,9.0,2.4285714285714284
2020-03-03,ITH32,5.0,2.0,0.7142857142857143
2020-03-03,ITH33,5.0,2.0,0.7142857142857143
2020-03-03,ITH34,82.0,10.0,11.571428571428571
2020-03-03,ITH35,48.0,0.0,5.857142857142857
2020-03-03,ITH36,144.0,9.0,16.285714285714285
2020-03-03,ITH37,1.0,1.0,0.14285714285714285
2020-03-04,ITH31,21.0,4.0,2.625
2020-03-04,ITH32,10.0,5.0,1.25
2020-03-04,ITH33,7.0,2.0,0.875
2020-03-04,ITH34,86.0,4.0,10.625
2020-03-04,ITH35,59.0,11.0,6.5
2020-03-04,ITH36,162.0,18.0,16.5
2020-03-04,ITH37,4.0,3.0,0.5
2020-03-05,ITH31,25.0,4.0,2.7777777777777777
2020-03-05,ITH32,19.0,9.0,2.111111111111111
2020-03-05,ITH33,7.0,0.0,0.7777777777777778
2020-03-05,ITH34,89.0,3.0,9.777777777777779
2020-03-05,ITH35,73.0,14.0,7.333333333333333
2020-03-05,ITH36,175.0,13.0,16.11111111111111
2020-03-05,ITH37,5.0,1.0,0.5555555555555556
2020-03-06,ITH31,42.0,17.0,4.2
2020-03-06,ITH32,24.0,5.0,2.4
2020-03-06,ITH33,7.0,0.0,0.7
2020-03-06,ITH34,103.0,14.0,10.2
2020-03-06,ITH35,85.0,12.0,7.8
2020-03-06,ITH36,198.0,23.0,16.8
2020-03-06,ITH37,5.0,0.0,0.5
2020-03-07,ITH31,52.0,10.0,4.7272727272727275
2020-03-07,ITH32,37.0,13.0,3.3636363636363638
2020-03-07,ITH33,11.0,4.0,1.0
2020-03-07,ITH34,110.0,7.0,9.909090909090908
2020-03-07,ITH35,100.0,15.0,8.454545454545455
2020-03-07,ITH36,216.0,18.0,16.90909090909091
2020-03-07,ITH37,5.0,0.0,0.45454545454545453
2020-03-08,ITH31,63.0,11.0,5.25
2020-03-08,ITH32,50.0,13.0,4.166666666666667
2020-03-08,ITH33,23.0,12.0,1.9166666666666667
2020-03-08,ITH34,126.0,16.0,10.416666666666666
2020-03-08,ITH35,126.0,26.0,9.916666666666666
2020-03-08,ITH36,255.0,39.0,18.75
2020-03-08,ITH37,5.0,0.0,0.4166666666666667
2020-03-09,ITH31,73.0,10.0,5.615384615384615
2020-03-09,ITH32,53.0,3.0,4.076923076923077
2020-03-09,ITH33,29.0,6.0,2.230769230769231
2020-03-09,ITH34,136.0,10.0,10.384615384615385
2020-03-09,ITH35,130.0,4.0,9.461538461538462
2020-03-09,ITH36,273.0,18.0,18.692307692307693
2020-03-09,ITH37,7.0,2.0,0.5384615384615384
2020-03-10,ITH31,96.0,23.0,6.857142857142857
2020-03-10,ITH32,73.0,20.0,5.214285714285714
2020-03-10,ITH33,29.0,0.0,2.0714285714285716
2020-03-10,ITH34,158.0,22.0,11.214285714285714
2020-03-10,ITH35,152.0,22.0,10.357142857142858
2020-03-10,ITH36,296.0,23.0,19.0
2020-03-10,ITH37,10.0,3.0,0.7142857142857143
2020-03-11,ITH31,110.0,14.0,7.857142857142857
2020-03-11,ITH32,92.0,19.0,6.571428571428571
2020-03-11,ITH33,30.0,1.0,2.142857142857143
2020-03-11,ITH34,185.0,27.0,13.071428571428571
2020-03-11,ITH35,179.0,27.0,12.214285714285714
2020-03-11,ITH36,373.0,77.0,23.785714285714285
2020-03-11,ITH37,14.0,4.0,1.0
2020-03-12,ITH31,150.0,40.0,10.714285714285714
2020-03-12,ITH32,122.0,30.0,8.5
2020-03-12,ITH33,48.0,18.0,3.4285714285714284
2020-03-12,ITH34,279.0,94.0,18.357142857142858
2020-03-12,ITH35,205.0,26.0,13.642857142857142
2020-03-12,ITH36,439.0,66.0,27.142857142857142
2020-03-12,ITH37,13.0,-1.0,0.9285714285714286
2020-03-13,ITH31,210.0,60.0,15.0
2020-03-13,ITH32,141.0,19.0,9.857142857142858
2020-03-13,ITH33,59.0,11.0,4.214285714285714
2020-03-13,ITH34,327.0,48.0,21.714285714285715
2020-03-13,ITH35,248.0,43.0,16.642857142857142
2020-03-13,ITH36,523.0,84.0,32.5
2020-03-13,ITH37,16.0,3.0,1.1428571428571428
2020-03-14,ITH31,275.0,65.0,19.642857142857142
2020-03-14,ITH32,164.0,23.0,11.5
2020-03-14,ITH33,78.0,19.0,5.571428571428571
2020-03-14,ITH34,376.0,49.0,24.357142857142858
2020-03-14,ITH35,282.0,34.0,18.785714285714285
2020-03-14,ITH36,611.0,88.0,37.857142857142854
2020-03-14,ITH37,27.0,11.0,1.9285714285714286
2020-03-15,ITH31,335.0,60.0,23.785714285714285
2020-03-15,ITH32,235.0,71.0,16.571428571428573
2020-03-15,ITH33,82.0,4.0,5.857142857142857
2020-03-15,ITH34,413.0,37.0,26.428571428571427
2020-03-15,ITH35,328.0,46.0,21.714285714285715
2020-03-15,ITH36,658.0,47.0,39.5
2020-03-15,ITH37,27.0,0.0,1.9285714285714286
2020-03-16,ITH31,425.0,90.0,29.785714285714285
2020-03-16,ITH32,287.0,52.0,20.285714285714285
2020-03-16,ITH33,101.0,19.0,7.0
2020-03-16,ITH34,452.0,39.0,27.142857142857142
2020-03-16,ITH35,356.0,28.0,22.0
2020-03-16,ITH36,715.0,57.0,41.42857142857143
2020-03-16,ITH37,27.0,0.0,1.9285714285714286
2020-03-17,ITH31,481.0,56.0,33.142857142857146
2020-03-17,ITH32,325.0,38.0,22.857142857142858
2020-03-17,ITH33,109.0,8.0,7.428571428571429
2020-03-17,ITH34,502.0,50.0,30.0
2020-03-17,ITH35,378.0,22.0,23.571428571428573
2020-03-17,ITH36,781.0,66.0,45.5
2020-03-17,ITH37,28.0,1.0,1.9285714285714286
2020-03-18,ITH31,626.0,145.0,43.214285714285715
2020-03-18,ITH32,393.0,68.0,27.357142857142858
2020-03-18,ITH33,140.0,31.0,9.5
2020-03-18,ITH34,591.0,89.0,36.07142857142857
2020-03-18,ITH35,426.0,48.0,26.214285714285715
2020-03-18,ITH36,882.0,101.0,51.42857142857143
2020-03-18,ITH37,33.0,5.0,2.0714285714285716
2020-03-19,ITH31,686.0,60.0,47.214285714285715
2020-03-19,ITH32,424.0,31.0,28.928571428571427
2020-03-19,ITH33,150.0,10.0,10.214285714285714
2020-03-19,ITH34,637.0,46.0,39.142857142857146
2020-03-19,ITH35,475.0,49.0,28.714285714285715
2020-03-19,ITH36,924.0,42.0,53.5
2020-03-19,ITH37,52.0,19.0,3.357142857142857
2020-03-20,ITH31,784.0,98.0,53.0
2020-03-20,ITH32,518.0,94.0,35.285714285714285
2020-03-20,ITH33,195.0,45.0,13.428571428571429
2020-03-20,ITH34,719.0,82.0,44.0
2020-03-20,ITH35,574.0,99.0,34.92857142857143
2020-03-20,ITH36,1026.0,102.0,59.142857142857146
2020-03-20,ITH37,67.0,15.0,4.428571428571429
2020-03-21,ITH31,954.0,170.0,64.42857142857143
2020-03-21,ITH32,572.0,54.0,38.214285714285715
2020-03-21,ITH33,212.0,17.0,14.357142857142858
2020-03-21,ITH34,806.0,87.0,49.714285714285715
2020-03-21,ITH35,666.0,92.0,40.42857142857143
2020-03-21,ITH36,1155.0,129.0,67.07142857142857
2020-03-21,ITH37,68.0,1.0,4.5
2020-03-22,ITH31,1046.0,92.0,70.21428571428571
2020-03-22,ITH32,631.0,59.0,41.5
2020-03-22,ITH33,226.0,14.0,14.5
2020-03-22,ITH34,935.0,129.0,57.785714285714285
2020-03-22,ITH35,732.0,66.0,43.285714285714285
2020-03-22,ITH36,1277.0,122.0,73.0
2020-03-22,ITH37,76.0,8.0,5.071428571428571
2020-03-23,ITH31,1099.0,53.0,73.28571428571429
2020-03-23,ITH32,691.0,60.0,45.57142857142857
2020-03-23,ITH33,254.0,28.0,16.071428571428573
2020-03-23,ITH34,999.0,64.0,61.642857142857146
2020-03-23,ITH35,799.0,67.0,47.785714285714285
2020-03-23,ITH36,1371.0,94.0,78.42857142857143
2020-03-23,ITH37,80.0,4.0,5.214285714285714
2020-03-24,ITH31,1228.0,129.0,80.85714285714286
2020-03-24,ITH32,744.0,53.0,47.92857142857143
2020-03-24,ITH33,273.0,19.0,17.428571428571427
2020-03-24,ITH34,1091.0,92.0,66.64285714285714
2020-03-24,ITH35,837.0,38.0,48.92857142857143
2020-03-24,ITH36,1464.0,93.0,83.42857142857143
2020-03-24,ITH37,82.0,2.0,5.142857142857143
2020-03-25,ITH31,1304.0,76.0,85.28571428571429
2020-03-25,ITH32,824.0,80.0,52.285714285714285
2020-03-25,ITH33,298.0,25.0,19.142857142857142
2020-03-25,ITH34,1177.0,86.0,70.85714285714286
2020-03-25,ITH35,874.0,37.0,49.642857142857146
2020-03-25,ITH36,1636.0,172.0,90.21428571428571
2020-03-25,ITH37,87.0,5.0,5.214285714285714
2020-03-26,ITH31,1402.0,98.0,89.42857142857143
2020-03-26,ITH32,899.0,75.0,55.5
2020-03-26,ITH33,313.0,15.0,18.928571428571427
2020-03-26,ITH34,1254.0,77.0,69.64285714285714
2020-03-26,ITH35,920.0,46.0,51.07142857142857
2020-03-26,ITH36,1777.0,141.0,95.57142857142857
2020-03-26,ITH37,110.0,23.0,6.928571428571429
2020-03-27,ITH31,1645.0,243.0,102.5
2020-03-27,ITH32,966.0,67.0,58.92857142857143
2020-03-27,ITH33,329.0,16.0,19.285714285714285
2020-03-27,ITH34,1310.0,56.0,70.21428571428571
2020-03-27,ITH35,955.0,35.0,50.5
2020-03-27,ITH36,1891.0,114.0,97.71428571428571
2020-03-27,ITH37,122.0,12.0,7.571428571428571
2020-03-28,ITH31,1754.0,109.0,105.64285714285714
2020-03-28,ITH32,1036.0,70.0,62.285714285714285
2020-03-28,ITH33,367.0,38.0,20.642857142857142
2020-03-28,ITH34,1359.0,49.0,70.21428571428571
2020-03-28,ITH35,1019.0,64.0,52.642857142857146
2020-03-28,ITH36,2009.0,118.0,99.85714285714286
2020-03-28,ITH37,122.0,0.0,6.785714285714286
2020-03-29,ITH31,1876.0,122.0,110.07142857142857
2020-03-29,ITH32,1104.0,68.0,62.07142857142857
2020-03-29,ITH33,396.0,29.0,22.428571428571427
2020-03-29,ITH34,1402.0,43.0,70.64285714285714
2020-03-29,ITH35,1067.0,48.0,52.785714285714285
2020-03-29,ITH36,2124.0,115.0,104.71428571428571
2020-03-29,ITH37,125.0,3.0,7.0
